dt,open_price,high,low,close_price,volume
2015-02-05 14:30:00,120.02,120.10,119.85,120.07,577941
2015-02-05 14:35:00,120.08,120.11,119.52,119.84,1920261
2015-02-05 14:40:00,119.85,120.04,119.74,119.97,1028291
2015-02-05 14:45:00,119.96,120.09,119.85,119.98,1060368
2015-02-05 14:50:00,119.99,120.16,119.97,120.08,878099
2015-02-05 14:55:00,120.05,120.20,119.88,119.95,991695
2015-02-05 15:00:00,119.96,120.02,119.66,119.77,885924
2015-02-05 15:05:00,119.78,119.99,119.77,119.89,618585
2015-02-05 15:10:00,119.90,119.92,119.67,119.72,822058
2015-02-05 15:15:00,119.72,119.77,119.35,119.51,1271490
2015-02-05 15:20:00,119.53,119.68,119.52,119.58,538615
2015-02-05 15:25:00,119.58,119.60,119.37,119.55,558301
2015-02-05 15:30:00,119.56,119.60,119.44,119.51,493765
2015-02-05 15:35:00,119.50,119.72,119.45,119.65,574057
2015-02-05 15:40:00,119.66,119.86,119.65,119.84,582737
2015-02-05 15:45:00,119.86,119.90,119.66,119.70,415424
2015-02-05 15:50:00,119.70,119.76,119.58,119.67,348403
2015-02-05 15:55:00,119.67,119.82,119.67,119.76,280742
2015-02-05 16:00:00,119.77,119.78,119.66,119.66,320018
2015-02-05 16:05:00,119.66,119.72,119.57,119.68,376516
2015-02-05 16:10:00,119.69,119.78,119.68,119.74,265733
2015-02-05 16:15:00,119.74,119.92,119.73,119.91,503646
2015-02-05 16:20:00,119.92,119.97,119.79,119.85,474912
2015-02-05 16:25:00,119.85,119.97,119.79,119.90,349031
2015-02-05 16:30:00,119.91,120.00,119.90,119.98,370539
2015-02-05 16:35:00,119.99,120.15,119.94,120.15,814591
2015-02-05 16:40:00,120.14,120.23,120.04,120.09,830312
2015-02-05 16:45:00,120.08,120.13,119.94,119.95,454690
2015-02-05 16:50:00,119.96,120.09,119.95,119.98,286403
2015-02-05 16:55:00,119.98,120.00,119.67,119.85,627623
2015-02-05 17:00:00,119.85,119.90,119.80,119.86,218580
2015-02-05 17:05:00,119.87,119.90,119.73,119.81,279075
2015-02-05 17:10:00,119.80,119.80,119.64,119.72,387599
2015-02-05 17:15:00,119.72,119.88,119.70,119.71,284238
2015-02-05 17:20:00,119.71,119.84,119.70,119.79,217090
2015-02-05 17:25:00,119.80,119.83,119.76,119.78,147042
2015-02-05 17:30:00,119.79,119.82,119.70,119.73,194960
2015-02-05 17:35:00,119.74,119.84,119.74,119.78,182902
2015-02-05 17:40:00,119.78,119.83,119.74,119.79,215156
2015-02-05 17:45:00,119.79,119.87,119.77,119.81,204147
2015-02-05 17:50:00,119.81,119.88,119.76,119.79,185696
2015-02-05 17:55:00,119.78,119.87,119.73,119.73,220896
2015-02-05 18:00:00,119.73,119.80,119.67,119.76,193494
2015-02-05 18:05:00,119.76,119.84,119.71,119.76,234377
2015-02-05 18:10:00,119.75,119.83,119.74,119.83,176653
2015-02-05 18:15:00,119.82,119.90,119.80,119.88,205175
2015-02-05 18:20:00,119.88,119.90,119.82,119.88,250623
2015-02-05 18:25:00,119.88,119.91,119.85,119.87,241476
2015-02-05 18:30:00,119.87,119.93,119.83,119.86,192184
2015-02-05 18:35:00,119.86,119.91,119.79,119.82,156361
2015-02-05 18:40:00,119.82,119.88,119.79,119.88,139351
2015-02-05 18:45:00,119.87,119.90,119.83,119.86,177352
2015-02-05 18:50:00,119.86,119.87,119.82,119.84,149873
2015-02-05 18:55:00,119.84,119.88,119.80,119.81,187195
2015-02-05 19:00:00,119.81,119.82,119.72,119.75,288628
2015-02-05 19:05:00,119.74,119.77,119.58,119.65,361448
2015-02-05 19:10:00,119.65,119.75,119.63,119.72,339956
2015-02-05 19:15:00,119.73,119.89,119.72,119.80,398889
2015-02-05 19:20:00,119.81,119.84,119.75,119.81,242062
2015-02-05 19:25:00,119.82,119.84,119.73,119.82,173946
2015-02-05 19:30:00,119.82,119.82,119.72,119.74,201479
2015-02-05 19:35:00,119.74,119.78,119.64,119.72,345994
2015-02-05 19:40:00,119.72,119.77,119.68,119.73,219919
2015-02-05 19:45:00,119.73,119.76,119.50,119.52,512286
2015-02-05 19:50:00,119.52,119.59,119.50,119.54,445370
2015-02-05 19:55:00,119.54,119.69,119.51,119.61,380057
2015-02-05 20:00:00,119.62,119.62,119.52,119.58,216796
2015-02-05 20:05:00,119.58,119.62,119.50,119.53,341962
2015-02-05 20:10:00,119.53,119.57,119.40,119.45,370763
2015-02-05 20:15:00,119.45,119.45,119.25,119.35,613572
2015-02-05 20:20:00,119.35,119.48,119.32,119.44,437303
2015-02-05 20:25:00,119.45,119.58,119.44,119.53,369866
2015-02-05 20:30:00,119.53,119.73,119.53,119.70,570852
2015-02-05 20:35:00,119.72,119.85,119.64,119.82,543289
2015-02-05 20:40:00,119.82,119.95,119.76,119.94,697532
2015-02-05 20:45:00,119.95,120.01,119.89,119.93,890065
2015-02-05 20:50:00,119.91,119.92,119.76,119.83,631619
2015-02-05 20:55:00,119.84,119.91,119.82,119.87,593403
2015-02-05 21:00:00,119.87,119.94,119.78,119.94,2241746
2015-02-06 14:30:00,120.02,120.16,120.02,120.05,578055
2015-02-06 14:35:00,120.05,120.23,119.70,119.98,1234368
2015-02-06 14:40:00,119.97,120.15,119.84,119.93,930199
2015-02-06 14:45:00,119.91,120.12,119.65,119.75,991092
2015-02-06 14:50:00,119.74,119.81,119.45,119.78,1003521
2015-02-06 14:55:00,119.78,119.95,119.73,119.87,483899
2015-02-06 15:00:00,119.87,119.91,119.71,119.79,541650
2015-02-06 15:05:00,119.80,119.91,119.73,119.75,503611
2015-02-06 15:10:00,119.75,119.85,119.74,119.82,351377
2015-02-06 15:15:00,119.82,120.00,119.82,119.96,574680
2015-02-06 15:20:00,119.97,120.08,119.92,119.98,484637
2015-02-06 15:25:00,119.97,120.02,119.87,119.97,407126
2015-02-06 15:30:00,119.97,119.98,119.82,119.84,296526
2015-02-06 15:35:00,119.86,119.99,119.86,119.97,297015
2015-02-06 15:40:00,119.96,119.98,119.86,119.94,417352
2015-02-06 15:45:00,119.94,120.15,119.92,120.14,659334
2015-02-06 15:50:00,120.14,120.18,120.10,120.15,517962
2015-02-06 15:55:00,120.14,120.18,120.03,120.04,320596
2015-02-06 16:00:00,120.05,120.17,120.05,120.12,263140
2015-02-06 16:05:00,120.12,120.19,120.04,120.15,261724
2015-02-06 16:10:00,120.15,120.21,119.98,120.09,590062
2015-02-06 16:15:00,120.09,120.11,120.00,120.10,293899
2015-02-06 16:20:00,120.11,120.12,120.03,120.04,249553
