dt,open_price,high,low,close_price,volume
2015-02-05 14:30:00,157.29,157.48,157.29,157.48,200
2015-02-05 14:35:00,157.48,157.86,157.30,157.50,104111
2015-02-05 14:40:00,157.50,157.54,157.30,157.50,49119
2015-02-05 14:45:00,157.50,157.50,157.15,157.50,53640
2015-02-05 14:50:00,157.50,157.79,157.32,157.78,60443
2015-02-05 14:55:00,157.77,158.06,157.76,157.93,53523
2015-02-05 15:00:00,157.93,157.94,157.61,157.70,40586
2015-02-05 15:05:00,157.64,157.76,157.58,157.70,43421
2015-02-05 15:10:00,157.70,158.00,157.68,157.73,41793
2015-02-05 15:15:00,157.70,157.87,157.65,157.79,50432
2015-02-05 15:20:00,157.79,157.80,157.61,157.65,25312
2015-02-05 15:25:00,157.68,157.68,157.52,157.63,40829
2015-02-05 15:30:00,157.67,157.96,157.66,157.95,52566
2015-02-05 15:35:00,157.95,158.27,157.83,158.20,41369
2015-02-05 15:40:00,158.23,158.35,158.05,158.31,33819
2015-02-05 15:45:00,158.33,158.35,158.13,158.13,22622
2015-02-05 15:50:00,158.10,158.50,158.05,158.38,28867
2015-02-05 15:55:00,158.40,158.50,158.30,158.46,28091
2015-02-05 16:00:00,158.43,158.50,158.16,158.18,36558
2015-02-05 16:05:00,158.15,158.30,158.10,158.29,32772
2015-02-05 16:10:00,158.29,158.59,158.27,158.45,47033
2015-02-05 16:15:00,158.45,158.50,158.23,158.27,26426
2015-02-05 16:20:00,158.31,158.38,158.16,158.21,35336
2015-02-05 16:25:00,158.15,158.24,157.97,158.13,52786
2015-02-05 16:30:00,158.16,158.30,158.02,158.10,49994
2015-02-05 16:35:00,158.13,158.36,158.13,158.28,28839
2015-02-05 16:40:00,158.35,158.47,158.24,158.40,24303
2015-02-05 16:45:00,158.37,158.38,158.21,158.25,15780
2015-02-05 16:50:00,158.25,158.45,158.25,158.38,15741
2015-02-05 16:55:00,158.38,158.40,158.17,158.19,17380
2015-02-05 17:00:00,158.22,158.34,158.19,158.27,14294
2015-02-05 17:05:00,158.26,158.37,158.16,158.26,14307
2015-02-05 17:10:00,158.25,158.37,158.06,158.13,16162
2015-02-05 17:15:00,158.13,158.21,158.03,158.16,27170
2015-02-05 17:20:00,158.15,158.27,158.00,158.06,26192
2015-02-05 17:25:00,158.06,158.17,157.97,158.02,16196
2015-02-05 17:30:00,158.02,158.07,157.82,157.94,20019
2015-02-05 17:35:00,157.95,158.08,157.90,157.98,18408
2015-02-05 17:40:00,157.98,158.10,157.97,158.08,15796
2015-02-05 17:45:00,158.06,158.11,157.91,157.91,21678
2015-02-05 17:50:00,157.94,158.19,157.94,157.97,41060
2015-02-05 17:55:00,158.00,158.03,157.87,157.94,16922
2015-02-05 18:00:00,157.97,158.11,157.96,158.06,29211
2015-02-05 18:05:00,158.10,158.30,158.06,158.24,25979
2015-02-05 18:10:00,158.21,158.23,158.14,158.15,40416
2015-02-05 18:15:00,158.16,158.19,158.06,158.11,24459
2015-02-05 18:20:00,158.10,158.26,158.04,158.04,72871
2015-02-05 18:25:00,158.04,158.24,158.04,158.12,17763
2015-02-05 18:30:00,158.14,158.30,158.04,158.24,20310
2015-02-05 18:35:00,158.26,158.32,158.13,158.22,26139
2015-02-05 18:40:00,158.23,158.23,158.10,158.16,16007
2015-02-05 18:45:00,158.18,158.28,158.13,158.24,25755
2015-02-05 18:50:00,158.23,158.23,158.11,158.18,27069
2015-02-05 18:55:00,158.18,158.25,158.14,158.16,10856
2015-02-05 19:00:00,158.18,158.19,158.01,158.06,14685
2015-02-05 19:05:00,158.06,158.06,157.89,157.89,22088
2015-02-05 19:10:00,157.88,157.90,157.76,157.78,27555
2015-02-05 19:15:00,157.79,157.99,157.77,157.88,22178
2015-02-05 19:20:00,157.90,158.00,157.84,157.95,19329
2015-02-05 19:25:00,157.99,158.00,157.71,157.75,21181
2015-02-05 19:30:00,157.74,157.74,157.42,157.71,65014
2015-02-05 19:35:00,157.72,157.75,157.39,157.51,52225
2015-02-05 19:40:00,157.52,157.80,157.51,157.80,21908
2015-02-05 19:45:00,157.79,157.81,157.39,157.39,29544
2015-02-05 19:50:00,157.36,157.57,157.31,157.48,31864
2015-02-05 19:55:00,157.50,157.68,157.49,157.58,21575
2015-02-05 20:00:00,157.56,157.66,157.49,157.60,27439
2015-02-05 20:05:00,157.61,157.63,157.41,157.51,30167
2015-02-05 20:10:00,157.54,157.61,157.42,157.53,19228
2015-02-05 20:15:00,157.53,157.55,157.35,157.48,45470
2015-02-05 20:20:00,157.47,157.58,157.41,157.55,39756
2015-02-05 20:25:00,157.58,157.59,157.34,157.42,73647
2015-02-05 20:30:00,157.41,157.63,157.37,157.55,60969
2015-02-05 20:35:00,157.57,157.76,157.50,157.65,80324
2015-02-05 20:40:00,157.65,157.90,157.65,157.85,76361
2015-02-05 20:45:00,157.86,157.97,157.73,157.78,71376
2015-02-05 20:50:00,157.77,157.94,157.72,157.73,71323
2015-02-05 20:55:00,157.73,157.97,157.73,157.94,85018
2015-02-05 21:00:00,157.94,157.95,157.78,157.86,200721
2015-02-06 14:35:00,157.34,157.34,156.51,156.80,92609
2015-02-06 14:40:00,156.80,157.05,156.41,156.67,52806
2015-02-06 14:45:00,156.59,157.07,156.51,156.80,43222
2015-02-06 14:50:00,156.74,157.07,156.53,157.07,35762
2015-02-06 14:55:00,157.07,157.33,156.92,157.30,60492
2015-02-06 15:00:00,157.30,157.31,156.92,157.25,31915
2015-02-06 15:05:00,157.12,157.34,157.09,157.16,21937
2015-02-06 15:10:00,157.18,157.39,157.14,157.23,28867
2015-02-06 15:15:00,157.23,157.37,157.23,157.37,33332
2015-02-06 15:20:00,157.35,157.63,157.35,157.59,26387
2015-02-06 15:25:00,157.58,157.64,157.46,157.57,36421
2015-02-06 15:30:00,157.63,157.63,157.24,157.25,23673
2015-02-06 15:35:00,157.26,157.58,157.26,157.44,17147
2015-02-06 15:40:00,157.45,157.48,157.28,157.28,15294
2015-02-06 15:45:00,157.33,157.48,157.22,157.43,37849
2015-02-06 15:50:00,157.42,157.48,157.34,157.41,17160
2015-02-06 15:55:00,157.38,157.43,157.24,157.24,32176
2015-02-06 16:00:00,157.24,157.36,157.24,157.27,19009
2015-02-06 16:05:00,157.28,157.43,157.28,157.41,14501
2015-02-06 16:10:00,157.41,157.50,157.40,157.50,18455
2015-02-06 16:15:00,157.50,157.63,157.40,157.44,17210
2015-02-06 16:20:00,157.42,157.53,157.36,157.48,30688
2015-02-06 16:25:00,157.46,157.47,157.24,157.37,21508
2015-02-06 16:30:00,157.36,157.42,157.23,157.26,21384
2015-02-06 16:35:00,157.25,157.39,157.25,157.33,31288
2015-02-06 16:40:00,157.33,157.49,157.20,157.38,36763
2015-02-06 16:45:00,157.36,157.50,157.24,157.50,17633
2015-02-06 16:50:00,157.52,157.77,157.47,157.75,19705
2015-02-06 16:55:00,157.74,157.76,157.63,157.64,15179
2015-02-06 17:00:00,157.65,157.73,157.50,157.73,26826
2015-02-06 17:05:00,157.72,157.80,157.65,157.73,26179
2015-02-06 17:10:00,157.71,157.79,157.66,157.77,18819
2015-02-06 17:15:00,157.78,157.91,157.73,157.87,19461
2015-02-06 17:20:00,157.89,157.92,157.77,157.83,16072
2015-02-06 17:25:00,157.81,157.93,157.79,157.90,16609
2015-02-06 17:30:00,157.89,157.98,157.85,157.96,16587
2015-02-06 17:35:00,157.96,158.00,157.91,157.97,20826
2015-02-06 17:40:00,157.97,158.08,157.96,157.97,56636
2015-02-06 17:45:00,157.98,157.99,157.62,157.65,14435
2015-02-06 17:50:00,157.62,157.73,157.52,157.73,43041
2015-02-06 17:55:00,157.69,157.73,157.57,157.68,14429
2015-02-06 18:00:00,157.68,157.83,157.64,157.71,29051
2015-02-06 18:05:00,157.74,157.80,157.67,157.71,18060
2015-02-06 18:10:00,157.69,157.69,157.35,157.40,26376
2015-02-06 18:15:00,157.43,157.45,157.25,157.28,18824
2015-02-06 18:20:00,157.29,157.45,157.19,157.28,35397
2015-02-06 18:25:00,157.32,157.32,157.21,157.26,21596
2015-02-06 18:30:00,157.26,157.32,157.09,157.31,51961
2015-02-06 18:35:00,157.31,157.31,157.13,157.22,15485
2015-02-06 18:40:00,157.23,157.23,157.03,157.08,26344
2015-02-06 18:45:00,157.07,157.17,157.01,157.06,21503
2015-02-06 18:50:00,157.07,157.25,157.01,157.25,27526
2015-02-06 18:55:00,157.25,157.35,157.23,157.31,14713
